"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
VIRGINIA,35 to 44,"1,078",925,732,67.9,79.1,671,62.2,72.5
VIRGINIA,45 to 64,"2,176","2,084","1,609",74.0,77.2,"1,570",72.2,75.3
VIRGINIA,65+,"1,385","1,341","1,069",77.2,79.7,"1,022",73.8,76.2
WASHINGTON,Total,"5,993","5,389","4,029",67.2,74.8,"3,854",64.3,71.5
WASHINGTON,18 to 24,556,516,287,51.6,55.6,271,48.6,52.4
WASHINGTON,25 to 34,"1,169",989,697,59.6,70.5,654,56.0,66.1
WASHINGTON,35 to 44,"1,148",983,739,64.4,75.1,698,60.8,71.0
WASHINGTON,45 to 64,"1,828","1,650","1,319",72.2,79.9,"1,264",69.1,76.6
WASHINGTON,65+,"1,292","1,250",987,76.4,79.0,967,74.8,77.3
WEST VIRGINIA,Total,"1,397","1,379",928,66.4,67.3,773,55.3,56.1
WEST VIRGINIA,18 to 24,155,153,71,46.1,46.7,53,34.2,34.6
WEST VIRGINIA,25 to 34,195,191,117,60.1,61.3,79,40.7,41.5
WEST VIRGINIA,35 to 44,213,209,144,67.6,68.7,119,56.2,57.1
WEST VIRGINIA,45 to 64,471,462,319,67.9,69.1,274,58.3,59.3
WEST VIRGINIA,65+,365,364,276,75.7,75.9,247,67.8,68.0
WISCONSIN,Total,"4,538","4,421","3,391",74.7,76.7,"3,253",71.7,73.6
WISCONSIN,18 to 24,581,577,333,57.4,57.8,323,55.6,56.0
WISCONSIN,25 to 34,762,714,582,76.4,81.5,557,73.1,78.0
WISCONSIN,35 to 44,650,617,437,67.2,70.8,426,65.5,69.1
WISCONSIN,45 to 64,"1,604","1,572","1,241",77.4,79.0,"1,171",73.0,74.5
WISCONSIN,65+,941,941,797,84.8,84.8,776,82.4,82.4
WYOMING,Total,436,427,296,67.9,69.3,280,64.1,65.5
WYOMING,18 to 24,52,51,28,B,B,25,B,B
WYOMING,25 to 34,74,69,41,B,B,36,B,B
WYOMING,35 to 44,70,69,41,B,B,39,B,B
WYOMING,45 to 64,145,143,110,75.7,76.8,106,73.0,74.1
WYOMING,65+,96,95,76,79.5,80.1,73,76.0,76.6
,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,
NOTES: ,,,,,,,,,
"The symbol B means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see hthttps://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,
,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2020",,,,,,,,,
